No,Sumber,Halaman,Jumlah Karakter,Jumlah Kata,Dimensi Embedding,Norm Embedding,Preview Teks
15,Dokumen_RAG_Akademik_STTNF.pdf,1,974,136,384,1.0,"gan, aturan akademik, kelulusan, tugas akhir, MBKM, Elena, repository, jurnal, dan kode etik mahasiswa. Format penggunaan Satu dokumen PDF yang dapat dimasukkan ke folder data/docu..."
16,Dokumen_RAG_Akademik_STTNF.pdf,1,993,143,384,1.0,lusan/ Pedoman Tugas Akhir - Pedoman Akademik STT-NFhttps://akademik.nurulfikri.ac.id/1-pedoman-tugas-akhir/ Tugas Akhir STT-NFhttps://nurulfikri.ac.id/tugas-akhir-sttnf/ Pedoman M...
17,Dokumen_RAG_Akademik_STTNF.pdf,1,999,131,384,1.0,ADU NURUL FIKRI STT Terpadu Nurul Fikri merupakan perguruan tinggi yang menyelenggarakan pendidikan tinggi di bidang teknologi informasi dan bisnis digital. Informasi resmi kampus ...
18,Dokumen_RAG_Akademik_STTNF.pdf,1,1000,129,384,1.0,"mik, layanan administrasi, pembelajaran digital, tugas akhir, MBKM, dan kode etik mahasiswa. Dataset RAG Akademik STT-NF - versi lengkap untuk prototype chatbot 2. PROGRAM STUDI 2...."
19,Dokumen_RAG_Akademik_STTNF.pdf,1,995,131,384,1.0,"tan teknologi informasi untuk mendukung proses bisnis, analisis kebutuhan sistem, pengelolaan data, serta evaluasi dan pengembangan sistem informasi. Informasi kurikulum Sistem Inf..."
20,Dokumen_RAG_Akademik_STTNF.pdf,1,998,126,384,1.0,is digital dan contoh bidang yang dipelajari mahasiswa. 2.4 Rekayasa Sistem Komputer Informasi kampus juga memuat Rekayasa Sistem Komputer sebagai rumpun ilmu yang mengembangkan te...
21,Dokumen_RAG_Akademik_STTNF.pdf,1,995,118,384,1.0,"formasi, teknik informatika, digital marketing, startup, AI, cloud, dan cyber security. Rekayasa Sistem Komputer Teknologi pintar, AIoT, sistem komputasi, dan dukungan keputusan be..."
22,Dokumen_RAG_Akademik_STTNF.pdf,1,1000,147,384,1.0,u administrasi KRS dan KHS. Seminar PKL dan TAMelayani pendaftaran seminar PKL dan Tugas Akhir. UjianMendukung koordinasi pelaksanaan ujian. 3.1 Waktu Pelayanan BAAK Jenis LayananH...
23,Dokumen_RAG_Akademik_STTNF.pdf,1,986,128,384,1.0,"Akademik dan Ketua Program Studi sebelum semester cuti dimulai. Sisa SKS mahasiswa harus tetap dapat diselesaikan sebelum masa studi berakhir, yaitu tujuh tahun. PertanyaanJawaban ..."
24,Dokumen_RAG_Akademik_STTNF.pdf,1,996,122,384,1.0,"keterangan lunas biaya pendidikan, dan pembayaran ujian susulan. Informasi ini penting untuk chatbot karena mahasiswa sering menanyakan prosedur administratif yang berkaitan dengan..."
25,Dokumen_RAG_Akademik_STTNF.pdf,1,990,130,384,1.0,h. Surat keterangan lunas Surat keterangan lunas biaya pendidikan menjadi salah satu syarat sidang skripsi dan kebutuhan administrasi lainnya. Ujian susulan Biaya ujian susulan ber...
26,Dokumen_RAG_Akademik_STTNF.pdf,1,997,121,384,1.0,pembelajaran lainnya. Fitur/InformasiKegunaan Materi kuliahMembantu mahasiswa mengakses materi pembelajaran digital. KuisMendukung proses evaluasi pembelajaran. Kolaborasi akademik...
27,Dokumen_RAG_Akademik_STTNF.pdf,1,992,129,384,1.0,"nologi Terpadu dan Jurnal Informatika Terpadu di bidang ilmu komputer, sistem informasi, dan teknik informatika. Sistem InformasiFungsi Repository karya ilmiahMenyimpan dan mempubl..."
28,Dokumen_RAG_Akademik_STTNF.pdf,1,994,143,384,1.0,"ketentuan, ketidakhadiran dapat dianggap sebagai alpa atau tidak hadir. 6.2 Peraturan Mengikuti Ujian 1.Mahasiswa mengikuti ujian sesuai jadwal yang telah ditetapkan. 2.Mahasiswa d..."
29,Dokumen_RAG_Akademik_STTNF.pdf,1,999,140,384,1.0,"sesuai ketentuan sumber. 7. KELULUSAN, YUDISIUM, DAN SKL 7.1 Syarat Kelulusan Program Sarjana 10.Telah menyelesaikan mata kuliah minimal 148 SKS sesuai ketentuan program studi masi..."
30,Dokumen_RAG_Akademik_STTNF.pdf,1,996,134,384,1.0,"versi lengkap untuk prototype chatbot Apa syarat lulus program sarjana? Minimal 148 SKS, menyelesaikan Tugas Akhir, IPK minimal 2.00, memiliki sertifikat kompetensi, dan masa studi..."
31,Dokumen_RAG_Akademik_STTNF.pdf,1,999,127,384,1.0,"ni mahasiswa dalam proses penyusunan dan penyelesaian Tugas Akhir. Komponen TAKeterangan Pedoman Tugas Akhir Berisi persyaratan, langkah prosedural, format, panduan penulisan, dan ..."
32,Dokumen_RAG_Akademik_STTNF.pdf,1,1000,129,384,1.0,"elajaran, penelitian, dan pengabdian kepada masyarakat. NoProgram Kampus Merdeka 1Magang atau praktik kerja 2Studi atau proyek independen 3Kegiatan wirausaha 4Pertukaran pelajar 5A..."
33,Dokumen_RAG_Akademik_STTNF.pdf,1,989,134,384,1.0,"kan, hasil scan dokumen, serta mengunggahnya ke formulir yang disediakan. 9.2 Tugas Dosen Pembimbing MBKM 15.Melakukan monitoring kegiatan MBKM mahasiswa setiap semester dan membim..."
34,Dokumen_RAG_Akademik_STTNF.pdf,1,996,122,384,1.0,"ntuk beretika dengan baik dalam aktivitas di lingkungan kampus maupun di masyarakat. Kode etik bertujuan membentuk mahasiswa yang bertakwa, berilmu, berakhlak mulia, mendukung visi..."
35,Dokumen_RAG_Akademik_STTNF.pdf,1,999,130,384,1.0,"k dan etos ilmu pengetahuan. Kebebasan akademik Menghormati pengembangan ilmu pengetahuan, menyampaikan pendapat ilmiah, menghargai pendapat orang lain, dan berpartisipasi dalam ke..."
36,Dokumen_RAG_Akademik_STTNF.pdf,1,991,137,384,1.0,ministrasi keuangan Bagaimana ketentuan pembayaran biaya cuti kuliah? 9ElenaApa fungsi Elena STT-NF? 10Repository Apa fungsi repository karya ilmiah STT- NF? 11Presensi kuliah Apa ...
37,Dokumen_RAG_Akademik_STTNF.pdf,1,600,83,384,1.0,"ini pada folder data/documents dalam proyek APP_RAG. Dataset RAG Akademik STT-NF - versi lengkap untuk prototype chatbot Jalankan npm run ingest agar dokumen diekstrak, dipecah me..."
38,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,995,124,384,1.0,"MODUL PRAKTIKUM | Virtual Networking, NFV & SDNVirtualisasi & Keamanan Jaringan MODUL PRAKTIKUM Virtual Networking, NFV & SDN dalam Lingkungan Virtualisasi Mata Kuliah Virtualisasi..."
39,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,998,121,384,1.0,"lalui dua sesi praktikum, mahasiswa akan membangun topologi jaringan virtual dari awal, mengkonfigurasi router virtual MikroTik CHR sebagai contoh implementasi NFV, mengeksplorasi ..."
40,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,994,136,384,1.0,"Ubuntu 24.04 sebagai virtual switch berbasis SDN. • Membuat dan menginspeksi jaringan container menggunakan Docker, termasuk network isolation. • Mengimplementasikan filter firewal..."
41,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,994,130,384,1.0,"rtualBox | MikroTik CHR | Ubuntu 24.04Hal. 2 MODUL PRAKTIKUM | Virtual Networking, NFV & SDNVirtualisasi & Keamanan Jaringan D. Petunjuk Umum Pengerjaan  Baca sebelum memulai prak..."
42,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,992,154,384,1.0,"Virtual Networking, NFV & SDNVirtualisasi & Keamanan Jaringan PRAKTIKUM 1 Virtual Networking Fundamentals, NFV dengan MikroTik CHR Durasi: 1,5 Jam | Tools: VirtualBox + MikroTik CH..."
43,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,996,171,384,1.0,0.x] [Ubuntu-2: 192.168.20.x] Perangkat Konfigurasi Jaringan MikroTik CHR ether1: DHCP (NAT ke internet) | ether2: 192.168.10.1/24 | ether3: 192.168.20.1/24 Ubuntu-1 IP: 192.168.10...
44,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,995,155,384,1.0,"& SDNVirtualisasi & Keamanan Jaringan 4. Pada bagian Hard Disk, pilih Use an existing virtual hard disk file. 5. Klik ikon folder, browse ke file mikrotik-chr-x.xx.x.vdi yang sudah..."
45,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,1000,157,384,1.0,. TAHAP 2 Konfigurasi IP Address dan DHCP Server pada CHR Pada tahap ini kita akan mengkonfigurasi alamat IP pada setiap interface CHR dan mengaktifkan layanan DHCP Server agar Ubu...
46,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,995,163,384,1.0,"CP (range 192.168.10.100 - 192.168.10.200) S1 Teknik Informatika • Tools: VirtualBox | MikroTik CHR | Ubuntu 24.04Hal. 5 MODUL PRAKTIKUM | Virtual Networking, NFV & SDNVirtualisasi..."
47,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,995,152,384,1.0,pat IP dari NAT VirtualBox /ip dhcp-client print # Tambahkan rule NAT Masquerade /ip firewall nat add chain=srcnat out-interface=ether1 action=masquerade # Verifikasi rule NAT /ip ...
48,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,994,165,384,1.0,"fikasi: # Cek status network interface ip addr show S1 Teknik Informatika • Tools: VirtualBox | MikroTik CHR | Ubuntu 24.04Hal. 6 MODUL PRAKTIKUM | Virtual Networking, NFV & SDNVir..."
49,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,999,172,384,1.0,ahkan segmen jaringan kedua (LAN-VIRT-2) dan membuktikan bahwa routing antar segmen dapat dilakukan oleh CHR. 4.1 Tambah Adapter 3 pada CHR 1. Matikan VM MikroTik-CHR (shutdown den...
50,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,993,171,384,1.0,"Hal. 7 MODUL PRAKTIKUM | Virtual Networking, NFV & SDNVirtualisasi & Keamanan Jaringan # Aktifkan DHCP Server pada ether3 /ip dhcp-server add name=dhcp-ether3 interface=ether3 addr..."
51,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,998,139,384,1.0,aceroute untuk melihat path routing melalui CHR traceroute 192.168.10.100  Analisis Hasil Routing Perhatikan output traceroute: hop pertama adalah 192.168.20.1 (CHR ether3). Ini m...
52,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,995,147,384,1.0,kan dan jelaskan perbedaan mode jaringan VirtualBox yang Anda gunakan dalam lab ini (NAT dan Internal Network). Mengapa ether1 menggunakan NAT sementara ether2 dan ether3 menggunak...
53,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,999,138,384,1.0,"ocker + MikroTik CHR  Prasyarat Praktikum 2 dilanjutkan dari hasil Praktikum 1. Restore snapshot Lab1-Selesai jika diperlukan. Pastikan VM Ubuntu-1, Ubuntu-2, dan MikroTik-CHR dal..."
54,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,998,145,384,1.0,"am implementasi Software Defined Networking (SDN). Berbeda dengan Linux Bridge yang sederhana, OVS mendukung VLAN tagging, tunneling (VXLAN/GRE), dan kontrol terpusat via SDN contr..."
55,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,993,168,384,1.0,", interface) sudo ovs-vsctl show # Lihat informasi detail bridge (termasuk OpenFlow info) sudo ovs-ofctl show ovs-br0 # Bandingkan dengan Linux Bridge tradisional ip link show type..."
56,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,997,163,384,1.0,port tap0 tag=10 # Verifikasi: tap0 sekarang berada di VLAN 10 sudo ovs-vsctl show # Tambahkan port kedua di VLAN berbeda (20) sudo ip tuntap add tap1 mode tap sudo ip link set tap...
57,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,993,140,384,1.0,ilkan bridge ovs-br0 dengan dua port (tap0 tag=10 dan tap1 tag=20). TAHAP 6 Docker Container Networking Docker mengimplementasikan jaringan container menggunakan mekanisme Linux Ne...
58,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,995,156,384,1.0,sedia di Docker docker network ls # Inspect detail network 'bridge' (default) S1 Teknik Informatika • Tools: VirtualBox | MikroTik CHR | Ubuntu 24.04Hal. 12 MODUL PRAKTIKUM | Virtu...
59,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,999,159,384,1.0,Install ping di dalam container ct1 docker exec ct1 apt update -q docker exec ct1 apt install -y iputils-ping -q # Test ping dari ct1 ke ct2 (dalam network bridge yang sama) docker...
60,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,993,159,384,1.0,V & SDNVirtualisasi & Keamanan Jaringan docker run -dit --name ct3 --network virt-net ubuntu:24.04 bash # Lihat IP ct3 (harusnya di range 172.20.x.x) docker inspect ct3 | grep IPAd...
61,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,998,133,384,1.0,"ork, terisolasi ct3 -> 172.20.0.1 (gateway virt-net) BERHASIL - Gateway dalam satu network  Mengapa Isolasi ini Penting? Ini adalah implementasi prinsip SDN: network isolation mem..."
62,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,1000,153,384,1.0,"l CHR MikroTik CHR menggunakan konsep chain dalam firewall: S1 Teknik Informatika • Tools: VirtualBox | MikroTik CHR | Ubuntu 24.04Hal. 14 MODUL PRAKTIKUM | Virtual Networking, NFV..."
63,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,995,157,384,1.0,\ action=drop \ comment=BLOKIR-ICMP-VIRT2-KE-VIRT1 # Verifikasi rule terpasang /ip firewall filter print 7.3 Pengujian Rule Firewall Lakukan pengujian dari terminal Ubuntu-2: # Di ...
64,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,994,145,384,1.0,"4Hal. 15 MODUL PRAKTIKUM | Virtual Networking, NFV & SDNVirtualisasi & Keamanan Jaringan # (ICMP terblokir tapi TCP masih bisa melewati) ncat 192.168.10.100 8080 # Hasilnya: koneks..."
65,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,999,150,384,1.0,"(timeout). action=reject: Pengirim mendapat pesan ICMP 'port unreachable' atau 'net unreachable'. Dalam konteks keamanan, drop lebih disukai karena tidak memberikan informasi kepad..."
66,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,996,141,384,1.0,"0 get port tap0 \ -- --id=@tap-mirror get port tap-mirror \ S1 Teknik Informatika • Tools: VirtualBox | MikroTik CHR | Ubuntu 24.04Hal. 16 MODUL PRAKTIKUM | Virtual Networking, NFV..."
67,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,995,138,384,1.0,1. Jelaskan perbedaan mendasar antara Open vSwitch (OVS) dan Linux Bridge tradisional. Mengapa OVS disebut sebagai komponen SDN sementara Linux Bridge tidak? 2. Gambarkan diagram j...
68,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,996,156,384,1.0,"| Virtual Networking, NFV & SDNVirtualisasi & Keamanan Jaringan LEMBAR KERJA MAHASISWA Nama Mahasiswa NIM Kelas / Kelompok Tanggal Praktikum Nilai A. Rekap Konfigurasi Jaringan (Is..."
69,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,996,153,384,1.0,"wall drop Gagal S1 Teknik Informatika • Tools: VirtualBox | MikroTik CHR | Ubuntu 24.04Hal. 19 MODUL PRAKTIKUM | Virtual Networking, NFV & SDNVirtualisasi & Keamanan Jaringan C. Ch..."
70,Modul_Praktikum_Virtualisasi_dan_Kemanan_Jaringan_-_5.docx.pdf,1,973,130,384,1.0,"ping Ubuntu-2 ke Ubuntu-1 gagal, TCP masih bisa ☐ Semua pertanyaan analisis terjawab ☐ Lembar kerja terisi lengkap S1 Teknik Informatika • Tools: VirtualBox | MikroTik CHR | Ubuntu..."
